created_at,entry_id,field1,field2,field3,field4,field5
2025-03-22 05:28:04 UTC,3249424,29,33,136,1009,12.85
2025-03-22 05:28:34 UTC,3249425,29,33,136,1009,12.92
2025-03-22 05:29:05 UTC,3249426,29,33,136,1009,12.81
2025-03-22 05:29:35 UTC,3249427,29,33,136,1009,12.85
2025-03-22 05:30:06 UTC,3249428,29,33,136,1009,12.85
2025-03-22 05:30:37 UTC,3249429,29,33,135,1009,12.85
2025-03-22 05:31:07 UTC,3249430,29,33,135,1009,12.92
2025-03-22 05:31:37 UTC,3249431,29,33,135,1009,12.85
2025-03-22 05:32:08 UTC,3249432,29,33,134,1009,12.85
2025-03-22 05:32:38 UTC,3249433,29,33,134,1009,12.81
2025-03-22 05:33:09 UTC,3249434,29,33,134,1009,12.85
2025-03-22 05:33:39 UTC,3249435,29,33,134,1009,12.81
2025-03-22 05:34:10 UTC,3249436,29,33,133,1009,12.88
2025-03-22 05:34:41 UTC,3249437,29,33,133,1009,12.85
2025-03-22 05:35:11 UTC,3249438,29,33,133,1009,12.85
2025-03-22 05:35:41 UTC,3249439,29,33,133,1009,12.81
2025-03-22 05:36:12 UTC,3249440,29,33,133,1009,12.95
2025-03-22 05:36:42 UTC,3249441,29,33,133,1009,12.81
2025-03-22 05:37:13 UTC,3249442,29,33,133,1009,12.81
2025-03-22 05:37:43 UTC,3249443,29,33,130,1009,12.81
2025-03-22 05:38:14 UTC,3249444,29,33,125,1009,12.81
2025-03-22 05:38:44 UTC,3249445,29,33,125,1009,12.81
2025-03-22 05:39:15 UTC,3249446,29,33,125,1009,12.81
2025-03-22 05:39:45 UTC,3249447,29,33,126,1009,12.92
2025-03-22 05:40:16 UTC,3249448,29,33,129,1009,12.88
2025-03-22 05:40:46 UTC,3249449,29,33,127,1009,12.81
2025-03-22 05:41:17 UTC,3249450,29,33,128,1009,12.81
2025-03-22 05:41:48 UTC,3249451,29,33,128,1009,12.81
2025-03-22 05:42:18 UTC,3249452,29,33,126,1009,12.81
2025-03-22 05:42:48 UTC,3249453,29,33,126,1009,12.81
2025-03-22 05:43:19 UTC,3249454,29,33,127,1009,12.81
2025-03-22 05:43:49 UTC,3249455,29,33,127,1009,12.81
2025-03-22 05:44:20 UTC,3249456,29,33,128,1009,12.81
2025-03-22 05:44:50 UTC,3249457,29,33,129,1009,12.81
2025-03-22 05:45:21 UTC,3249458,29,33,130,1009,12.92
2025-03-22 05:45:52 UTC,3249459,29,33,129,1009,12.81
2025-03-22 05:46:22 UTC,3249460,29,33,130,1009,12.81
2025-03-22 05:46:53 UTC,3249461,29,33,130,1009,12.95
2025-03-22 05:47:23 UTC,3249462,29,33,132,1009,12.88
2025-03-22 05:47:53 UTC,3249463,29,33,133,1009,12.92
2025-03-22 05:48:24 UTC,3249464,29,33,134,1009,12.81
2025-03-22 05:48:54 UTC,3249465,29,33,134,1009,12.81
2025-03-22 05:49:25 UTC,3249466,29,33,135,1009,12.81
2025-03-22 05:49:55 UTC,3249467,29,33,133,1009,12.81
2025-03-22 05:50:26 UTC,3249468,29,33,133,1009,12.81
2025-03-22 05:50:56 UTC,3249469,29,33,133,1009,12.85
2025-03-22 05:51:27 UTC,3249470,29,33,130,1009,12.88
2025-03-22 05:51:57 UTC,3249471,29,33,130,1009,12.81
2025-03-22 05:52:28 UTC,3249472,29,33,130,1009,12.81
2025-03-22 05:52:58 UTC,3249473,29,33,131,1009,12.81
2025-03-22 05:53:29 UTC,3249474,29,33,131,1009,12.81
2025-03-22 05:53:59 UTC,3249475,29,33,133,1009,12.92
2025-03-22 05:54:30 UTC,3249476,29,33,133,1009,12.85
2025-03-22 05:55:00 UTC,3249477,29,33,130,1009,12.81
2025-03-22 05:55:31 UTC,3249478,29,33,131,1009,12.81
2025-03-22 05:56:01 UTC,3249479,29,33,132,1009,12.81
2025-03-22 05:56:32 UTC,3249480,29,33,130,1009,12.85
2025-03-22 05:57:02 UTC,3249481,29,33,131,1009,12.81
2025-03-22 05:57:33 UTC,3249482,29,33,132,1009,12.81
2025-03-22 05:58:03 UTC,3249483,29,33,131,1009,12.81
2025-03-22 05:58:34 UTC,3249484,29,33,130,1009,12.81
2025-03-22 05:59:04 UTC,3249485,29,33,130,1009,12.88
2025-03-22 05:59:35 UTC,3249486,29,33,130,1009,12.81
2025-03-22 06:00:05 UTC,3249487,29,33,130,1009,12.92
2025-03-22 06:00:36 UTC,3249488,29,33,130,1009,12.85
2025-03-22 06:01:06 UTC,3249489,29,33,130,1009,12.85
2025-03-22 06:01:37 UTC,3249490,29,33,130,1009,12.81
2025-03-22 06:02:07 UTC,3249491,29,33,130,1009,12.81
2025-03-22 06:02:38 UTC,3249492,29,33,129,1009,12.81
2025-03-22 06:03:08 UTC,3249493,29,33,129,1009,12.81
2025-03-22 06:03:39 UTC,3249494,29,33,129,1009,12.85
2025-03-22 06:04:09 UTC,3249495,29,33,129,1009,12.81
2025-03-22 06:04:40 UTC,3249496,29,33,129,1009,12.88
